il,yikik_bina,acil_yikilacak,agir_hasarli,orta_hasarli,az_hasarli,kaldirilan_enkaz,nufus_2022,nufus_2023,nufus_degisimi,kaba_olum_hizi,cadir_ihtiyac,konteyner_ihtiyac,gida_kolisi_ihtiyac,battaniye_ihtiyac,kaynak
Hatay,13889,9041,56214,13006,257403,51974,1686043,1544640,-141403,17.1,90000,5000,120000,150000,AFAD_SBB_2023
Kahramanmaras,7490,4436,35721,6040,181459,29326,1177436,1116618,-60818,14.8,70000,4000,90000,110000,AFAD_SBB_2023
Adiyaman,6187,2327,21027,4715,82775,17068,635169,604978,-30191,18.0,40000,2500,55000,70000,AFAD_SBB_2023
Malatya,5651,1841,36369,2520,119157,27979,812580,742725,-69855,0,35000,2000,45000,55000,AFAD_SBB_2023
Gaziantep,4126,1988,14304,5513,265262,11109,2154051,2130432,-23619,0,25000,1500,30000,40000,AFAD_SBB_2023
Osmaniye,702,531,9167,1074,122840,8009,559403,557664,-1739,0,12000,800,15000,20000,AFAD_SBB_2023
Sanliurfa,719,732,8351,2818,324921,7244,2170110,2151186,-18924,0,10000,600,12000,15000,AFAD_SBB_2023
Kilis,457,151,1926,488,32335,1769,147919,144892,-3027,0,8000,500,10000,12000,AFAD_SBB_2023
Diyarbakir,44,59,5491,2783,183712,4120,1804880,1794927,-9953,0,5000,300,6000,8000,AFAD_SBB_2023
Elazig,58,44,10671,300,23646,9074,591497,579846,-11651,0,4000,250,5000,6000,AFAD_SBB_2023
Adana,38,41,3330,4087,358645,517,2274106,2270298,-3808,0,3000,200,4000,5000,AFAD_SBB_2023
