Şehir,Okul Türü,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,Din Öğretimi,4736,6512,11248,0,0,0,11248
ADANA,Mesleki ve Teknik Ortaöğretim,33172,16150,49322,4623,1644,6267,55589
ADANA,Genel Ortaöğretim,53095,59103,112198,4250,3897,8147,120345
ADIYAMAN,Din Öğretimi,3811,4624,8435,0,0,0,8435
ADIYAMAN,Mesleki ve Teknik Ortaöğretim,11918,6386,18304,812,270,1082,19386
ADIYAMAN,Genel Ortaöğretim,17125,16677,33802,913,736,1649,35451
DİYARBAKIR,Din Öğretimi,9849,8667,18516,0,0,0,18516
DİYARBAKIR,Mesleki ve Teknik Ortaöğretim,22157,17001,39158,7204,3502,10706,49864
DİYARBAKIR,Genel Ortaöğretim,49385,47413,96798,4406,3086,7492,104290
GAZİANTEP,Din Öğretimi,6479,8165,14644,0,0,0,14644
GAZİANTEP,Mesleki ve Teknik Ortaöğretim,36816,17373,54189,1516,351,1867,56056
GAZİANTEP,Genel Ortaöğretim,64147,66431,130578,4945,4637,9582,140160
HATAY,Din Öğretimi,5918,8319,14237,0,0,0,14237
HATAY,Mesleki ve Teknik Ortaöğretim,27123,16824,43947,1351,666,2017,45964
HATAY,Genel Ortaöğretim,41579,44264,85843,4458,3945,8403,94246
MALATYA,Din Öğretimi,2906,3953,6859,0,0,0,6859
MALATYA,Mesleki ve Teknik Ortaöğretim,8634,4036,12670,2507,897,3404,16074
MALATYA,Genel Ortaöğretim,19944,21623,41567,2405,1931,4336,45903
KAHRAMANMARAŞ,Din Öğretimi,4031,7446,11477,0,0,0,11477
KAHRAMANMARAŞ,Mesleki ve Teknik Ortaöğretim,17800,8419,26219,1657,540,2197,28416
KAHRAMANMARAŞ,Genel Ortaöğretim,30129,32187,62316,1695,1686,3381,65697
ŞANLIURFA,Din Öğretimi,13263,13860,27123,0,0,0,27123
ŞANLIURFA,Mesleki ve Teknik Ortaöğretim,25493,15889,41382,8051,2704,10755,52137
ŞANLIURFA,Genel Ortaöğretim,65491,50579,116070,7374,3462,10836,126906
KİLİS,Din Öğretimi,1686,2107,3793,0,0,0,3793
KİLİS,Mesleki ve Teknik Ortaöğretim,2555,1280,3835,154,99,253,4088
KİLİS,Genel Ortaöğretim,3876,4212,8088,113,74,187,8275
OSMANİYE,Din Öğretimi,2302,2683,4985,0,0,0,4985
OSMANİYE,Mesleki ve Teknik Ortaöğretim,10105,5417,15522,501,237,738,16260
OSMANİYE,Genel Ortaöğretim,12687,14221,26908,1169,1040,2209,29117
