,İlçeler,Kayıtlı Nüfus,Longitude,Latitude
0,Adana(Aladağ)-1757,5642,35.395,37.5467
1,Adana(Ceyhan)-1219,44498,35.8147,37.0286
2,Adana(Çukurova)-2033,120591,35.2721,37.04
3,Adana(Feke)-1329,6110,35.9109,37.8182
4,Adana(İmamoğlu)-1806,8464,35.6582,37.2596
5,Adana(Karaisalı)-1437,7502,35.0553,37.2585
6,Adana(Karataş)-1443,7304,35.3835,36.5689
7,Adana(Kozan)-1486,41805,35.8189,37.4528
8,Adana(Pozantı)-1580,7183,34.8736,37.4256
9,Adana(Saimbeyli)-1588,4881,36.0897,37.9897
10,Adana(Sarıçam)-2032,59888,35.509,37.1507
11,Adana(Seyhan)-1104,226404,35.2601,36.9676
12,Adana(Tufanbeyli)-1687,5681,36.2222,38.2612
13,Adana(Yumurtalık)-1734,5948,35.79,36.7727
14,Adana(Yüreğir)-1748,102926,35.3439,36.9979
15,Adıyaman(Besni)-1182,21367,37.0,37.6932
16,Adıyaman(Çelikhan)-1246,4034,38.0,38.0325
17,Adıyaman(Gerger)-1347,3800,39.0,38.0289
18,Adıyaman(Gölbaşı)-1354,15106,37.0,37.7839
19,Adıyaman(Kahta)-1425,30029,38.0,37.7904
20,Adıyaman(Merkez)-1105,79496,38.0,37.7622
21,Adıyaman(Samsat)-1592,1922,38.0,37.5832
22,Adıyaman(Sincik)-1985,3522,38.0,38.0292
23,Adıyaman(Tut)-1989,2837,37.0,37.7966
24,Diyarbakır(Bağlar)-2040,94040,40.211,37.925
25,Diyarbakır(Bismil)-1195,25321,40.6691,37.85
26,Diyarbakır(Çermik)-1249,11740,39.4561,38.1355
27,Diyarbakır(Çınar)-1253,16568,40.4135,37.7241
28,Diyarbakır(Çüngüş)-1263,3440,39.2891,38.2128
29,Diyarbakır(Dicle)-1278,8022,40.0756,38.3733
30,Diyarbakır(Eğil)-1791,4601,40.0812,38.2579
31,Diyarbakır(Ergani)-1315,32655,39.7617,38.268
32,Diyarbakır(Hani)-1381,6784,40.3962,38.4112
33,Diyarbakır(Hazro)-1389,3776,40.498,38.15
34,Diyarbakır(Kayapınar)-2041,96019,40.1806,37.9323
35,Diyarbakır(Kocaköy)-1962,3136,40.5052,38.2917
36,Diyarbakır(Kulp)-1490,8707,41.0107,38.5007
37,Diyarbakır(Lice)-1504,5947,40.6518,38.4536
38,Diyarbakır(Silvan)-1624,18718,41.0109,38.142
39,Diyarbakır(Sur)-2042,22492,40.2317,37.9145
40,Diyarbakır(Yenişehir)-2043,54509,40.211,37.925
41,Gaziantep(Araban)-1139,8259,37.6896,37.4254
42,Gaziantep(İslahiye)-1415,18435,36.6311,37.0253
43,Gaziantep(Karkamış)-1956,2607,37.9953,36.8358
44,Gaziantep(Nizip)-1546,38352,37.7969,37.0099
45,Gaziantep(Nurdağı)-1974,10874,36.7406,37.176
46,Gaziantep(Oğuzeli)-1549,9015,37.5107,36.9653
47,Gaziantep(Şahinbey)-1841,247763,37.2025,36.907
48,Gaziantep(Şehitkamil)-1844,203401,37.379,37.0719
49,Gaziantep(Yavuzeli)-1720,5277,37.5668,37.3183
50,Hatay(Altınözü)-1131,15619,36.25,36.1167
51,Hatay(Antakya)-2080,107368,36.1612,36.1968
52,Hatay(Arsuz)-2081,29961,35.8818,36.416
53,Hatay(Belen)-1887,10763,36.1945,36.4906
54,Hatay(Defne)-2082,47513,36.1463,36.194
55,Hatay(Dörtyol)-1289,36266,36.2216,36.8434
56,Hatay(Erzin)-1792,11905,36.2052,36.9538
57,Hatay(Hassa)-1382,16222,36.522,36.7986
58,Hatay(İskenderun)-1413,75367,36.1756,36.5847
59,Hatay(Kırıkhan)-1468,32737,36.3607,36.4967
60,Hatay(Kumlu)-1970,3380,36.4511,36.3627
61,Hatay(Payas)-2083,12498,36.216,36.7783
62,Hatay(Reyhanlı)-1585,24651,36.5676,36.2685
63,Hatay(Samandağ)-1591,34651,35.9685,36.087
64,Hatay(Yayladağı)-1721,9781,36.0627,35.903
65,Kahramanmaraş(Afşin)-1107,23201,36.9146,38.2436
66,Kahramanmaraş(Andırın)-1136,10749,36.3498,37.5757
67,Kahramanmaraş(Çağlayancerit)-1785,6850,37.2932,37.7502
68,Kahramanmaraş(Dulkadiroğlu)-2084,61546,36.9494,37.5786
69,Kahramanmaraş(Ekinözü)-1919,3153,37.1887,38.0593
70,Kahramanmaraş(Elbistan)-1299,39683,37.1931,38.2065
71,Kahramanmaraş(Göksun)-1353,15379,36.4949,38.0204
72,Kahramanmaraş(Nurhak)-1975,3866,37.4474,37.9656
73,Kahramanmaraş(Onikişubat)-2085,121316,36.8397,37.6003
74,Kahramanmaraş(Pazarcık)-1570,19615,37.2936,37.4895
75,Kahramanmaraş(Türkoğlu)-1694,19230,36.8462,37.3848
76,Kilis(Elbeyli)-2023,1610,37.0,36.675
77,Kilis(Merkez)-1476,35004,37.0,36.7165
78,Kilis(Musabeyli)-2024,3461,36.0,36.8859
79,Kilis(Polateli)-2025,1347,37.0,36.8424
80,Malatya(Akçadağ)-1114,8879,37.9684,38.3444
81,Malatya(Arapgir)-1143,3724,38.4884,39.0428
82,Malatya(Arguvan)-1148,2881,38.2648,38.7827
83,Malatya(Battalgazi)-1772,85233,38.3654,38.425
84,Malatya(Darende)-1265,8443,37.4906,38.5567
85,Malatya(Doğanşehir)-1286,11683,37.8781,38.0934
86,Malatya(Doğanyol)-1914,1219,39.0377,38.3103
87,Malatya(Hekimhan)-1390,6755,37.9308,38.8165
88,Malatya(Kale)-1953,2075,38.7731,38.4237
89,Malatya(Kuluncak)-1969,2614,37.6703,38.8857
90,Malatya(Pütürge)-1582,4617,38.8689,38.1959
91,Malatya(Yazıhan)-1995,3631,38.1801,38.5958
92,Malatya(Yeşilyurt)-1729,96827,38.2486,38.2948
93,Osmaniye(Bahçe)-1165,7258,36.0,37.1966
94,Osmaniye(Düziçi)-1743,24797,36.0,37.2402
95,Osmaniye(Hasanbeyli)-2027,1746,36.0,37.1317
96,Osmaniye(Kadirli)-1423,40268,36.0,37.374
97,Osmaniye(Merkez)-1560,79781,36.0,37.0748
98,Osmaniye(Sumbas)-2028,4323,36.0,37.4473
99,Osmaniye(Toprakkale)-2029,4550,36.0,37.0624
100,Şanlıurfa(Akçakale)-1115,19093,38.9484,36.7133
101,Şanlıurfa(Birecik)-1194,21566,37.9775,37.025
102,Şanlıurfa(Bozova)-1209,12356,38.5265,37.3615
103,Şanlıurfa(Ceylanpınar)-1220,17584,40.0479,36.8527
104,Şanlıurfa(Eyyübiye)-2091,72822,38.7885,37.1424
105,Şanlıurfa(Halfeti)-1378,10454,37.8685,37.2482
106,Şanlıurfa(Haliliye)-2092,87480,38.7689,37.1786
107,Şanlıurfa(Harran)-1800,15417,39.0243,36.8631
108,Şanlıurfa(Hilvan)-1393,8935,38.9552,37.5852
109,Şanlıurfa(Karaköprü)-2093,65067,38.7992,37.2127
110,Şanlıurfa(Siverek)-1630,52063,39.3168,37.7546
111,Şanlıurfa(Suruç)-1643,20463,38.4243,36.9751
112,Şanlıurfa(Viranşehir)-1713,40959,39.7612,37.2359
