Şehir,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,76980,73617,150597,4662,4084,8746,159343
ADIYAMAN,23753,22598,46351,659,506,1165,47516
DİYARBAKIR,70308,67956,138264,3609,2885,6494,144758
GAZİANTEP,99919,97404,197323,3184,2878,6062,203385
HATAY,69840,66469,136309,2699,2427,5126,141435
MALATYA,24338,23397,47735,1633,1385,3018,50753
KAHRAMANMARAŞ,46325,44036,90361,1643,1529,3172,93533
ŞANLIURFA,110704,108997,219701,2744,2059,4803,224504
KİLİS,8909,8638,17547,206,123,329,17876
OSMANİYE,20036,19039,39075,980,804,1784,40859
