Şehir,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,22426,21309,43735,4215,3557,7772,51507
ADIYAMAN,8659,8078,16737,766,583,1349,18086
DİYARBAKIR,25021,23239,48260,1765,1509,3274,51534
GAZİANTEP,28937,27087,56024,2182,1881,4063,60087
HATAY,23986,22570,46556,2838,2299,5137,51693
MALATYA,6996,6577,13573,1188,1093,2281,15854
KAHRAMANMARAŞ,14232,13363,27595,1148,973,2121,29716
ŞANLIURFA,32861,31207,64068,1367,1146,2513,66581
KİLİS,2768,2727,5495,171,150,321,5816
OSMANİYE,6799,6302,13101,703,653,1356,14457
