il,yikik_bina,acil_yikilacak,agir_hasarli,orta_hasarli,az_hasarli,kaldirilan_enkaz,nufus_2022,nufus_2023,nufus_degisimi,kaba_olum_hizi,cadir_ihtiyac,konteyner_ihtiyac,gida_kolisi_ihtiyac,battaniye_ihtiyac,kaynak,max_magnitude,avg_magnitude,earthquake_count,avg_depth,lat,lon,hasar_orani,nufus_yogunlugu_etkisi,cadir_per_1000,gida_per_1000
Hatay,13889,9041,56214,13006,257403,51974,1686043,1544640,-141403,17.1,90000,5000,120000,150000,AFAD_SBB_2023,6.4,2.46,1378.0,7.65,36.39,36.16,0.2264142307054132,-0.08386678157081404,58.266003729024234,77.68800497203232
Kahramanmaras,7490,4436,35721,6040,181459,29326,1177436,1116618,-60818,14.8,70000,4000,90000,110000,AFAD_SBB_2023,7.7,2.3,6629.0,7.66,37.75,36.92,0.2026264421829749,-0.05165291361908418,62.689299294834946,80.60052766478778
Adiyaman,6187,2327,21027,4715,82775,17068,635169,604978,-30191,18.0,40000,2500,55000,70000,AFAD_SBB_2023,0.0,0.0,0.0,0.0,0.0,0.0,0.2524181420466197,-0.04753223157931196,66.11810677413064,90.91239681442963
Malatya,5651,1841,36369,2520,119157,27979,812580,742725,-69855,0.0,35000,2000,45000,55000,AFAD_SBB_2023,5.7,2.25,3306.0,7.76,38.19,38.14,0.2649587106361643,-0.08596692018016687,47.12376720858999,60.58770069675855
Gaziantep,4126,1988,14304,5513,265262,11109,2154051,2130432,-23619,0.0,25000,1500,30000,40000,AFAD_SBB_2023,6.6,2.28,914.0,7.29,37.14,36.82,0.07011820298495161,-0.010964921443364155,11.734709204518145,14.081651045421776
Osmaniye,702,531,9167,1074,122840,8009,559403,557664,-1739,0.0,12000,800,15000,20000,AFAD_SBB_2023,4.6,2.17,229.0,7.57,37.23,36.41,0.07742992219781857,-0.003108671208413255,21.518333620244448,26.89791702530556
Sanliurfa,719,732,8351,2818,324921,7244,2170110,2151186,-18924,0.0,10000,600,12000,15000,AFAD_SBB_2023,4.0,2.36,37.0,7.25,37.24,38.68,0.029039349177287566,-0.008720295284570828,4.648598494040032,5.578318192848037
Kilis,457,151,1926,488,32335,1769,147919,144892,-3027,0.0,8000,500,10000,12000,AFAD_SBB_2023,3.6,2.3,3.0,7.12,36.91,36.88,0.07166694948809321,-0.02046390254125569,55.21353835960578,69.01692294950722
Diyarbakir,44,59,5491,2783,183712,4120,1804880,1794927,-9953,0.0,5000,300,6000,8000,AFAD_SBB_2023,4.3,2.07,112.0,8.24,38.4,40.15,0.02912176583892967,-0.005514494038384823,2.7856286077372507,3.342754329284701
Elazig,58,44,10671,300,23646,9074,591497,579846,-11651,0.0,4000,250,5000,6000,AFAD_SBB_2023,4.8,1.99,396.0,7.95,38.6,39.6,0.31028225806451615,-0.019697479446218663,6.89838336385868,8.62297920482335
Adana,38,41,3330,4087,358645,517,2274106,2270298,-3808,0.0,3000,200,4000,5000,AFAD_SBB_2023,4.8,2.07,452.0,7.3,37.85,36.17,0.009310595342790502,-0.0016745041787849819,1.321412431319589,1.761883241759452
